DOMAIN,,ACCOUNT,HOST_USER,HOST_PASS,LOCATION,PACKAGE
catant.com,,maxcom,,,,
duth.catant.com,,maxcom,,,,
hoze.catant.com,,maxcom,,,,
joop.catant.com,,maxcom,,,,
polf.catant.com,,maxcom,,,,
qual.catant.com,,maxcom,,,,
zoos.catant.com,,maxcom,,,,
naya.duxite.com,,maxcom,,,,
brus.gorith.com,,maxcom,,,,
chur.gorith.com,,maxcom,,,,
frie.gorith.com,,maxcom,,,,
jacq.gorith.com,,maxcom,,,,
nige.gorith.com,,maxcom,,,,
roos.gorith.com,,maxcom,,,,
stro.gorith.com,,maxcom,,,,
lote.liverev.com,,maxcom,,,,
teru.liverev.com,,maxcom,,,,
uten.liverev.com,,maxcom,,,,
otic.lopion.com                   ,,maxcom,,,,
,,,,,,
eoni.marxiv.com,,ratzin,,,,
fous.marxiv.com,,ratzin,,,,
gier.marxiv.com,,ratzin,,,,
lond.marxiv.com,,ratzin,,,,
miey.marxiv.com,,ratzin,,,,
toir.marxiv.com,,ratzin,,,,
yery.marxiv.com,,ratzin,,,,
zuic.marxiv.com,,ratzin,,,,
itis.nasual.com,,ratzin,,,,
joop.nasual.com,,ratzin,,,,
linr.nasual.com,,ratzin,,,,
rhot.nasual.com,,ratzin,,,,
atr.periet.com,,ratzin,,,,
beb.periet.com,,ratzin,,,,
fez.periet.com,,ratzin,,,,
hol.periet.com,,ratzin,,,,
kod.periet.com,,ratzin,,,,
taf.periet.com,,ratzin,,,,
wia.periet.com,,ratzin,,,,
yul.periet.com,,ratzin,,,,
zra.periet.com,,ratzin,,,,
fae.rsipv.com,,ratzin,,,,
hiz.rsipv.com,,ratzin,,,,
kon.rsipv.com,,ratzin,,,,
mok.rsipv.com,,ratzin,,,,
xin.rsipv.com,,ratzin,,,,
dram.squasi.com,,ratzin,,,,
eori.squasi.com,,ratzin,,,,
liel.squasi.com,,ratzin,,,,
tanr.squasi.com,,ratzin,,,,
