Context-Cat,Category,URL
Shoes|Specialty Shoes,Wide Shoes ,http://www.zappos.com/shoes~6U
Shoes|Specialty Shoes,Narrow Shoes ,http://www.zappos.com/shoes~6V
Shoes|Specialty Shoes,Orthotic Friendly,http://www.zappos.com/shoes%7E6X?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/
Baby Shop|Infant Shoes,Pre Walker,http://www.zappos.com/shoes~4h
Baby Shop|Infant Shoes,First Walker,http://www.zappos.com/shoes~4i
Baby Shop|Infant Shoes,Flats,http://www.zappos.com/flats~n
Baby Shop|Infant Shoes,Sneakers and Athletic Shoes,http://www.zappos.com/sneakers-athletic-shoes~1b
Baby Shop|Infant Shoes,Sandals,http://www.zappos.com/sandals~E
Baby Shop|Infant Shoes,Slippers,http://www.zappos.com/slippers~c
At Home|Kitchen,Kitchen ,http://www.zappos.com/search/null/filter/zc1/%22Home%22/zc2/%22Kitchen%22/sort/goliveRecentSalesStyle/desc
At Home|Dining,Dining,http://www.zappos.com/search/null/filter/zc1/%22Home%22/zc2/%22Kitchen%22/zc3/%22Dining%22/sort/goliveRecentSalesStyle/desc
At Home|Bed,Bed,http://www.zappos.com/search/null/filter/zc1/%22Home%22/zc2/%22Bedding%22/sort/goliveRecentSalesStyle/desc
At Home|Bath,Bath,http://www.zappos.com/search/null/filter/zc1/%22Home%22/zc2/%22Bath%22/sort/goliveRecentSalesStyle/desc
Kids|Girls&#039; Shoes,Girls&#039; Shoes,http://www.zappos.com/girls-shoes~e2
Kids|Boys&#039; Shoes,Boys&#039; Shoes,http://www.zappos.com/boys-shoes~8G
Kids|Girls&#039; Clothing,Girls&#039; Clothing,http://www.zappos.com/girls-clothing~22
Kids|Boys&#039; Clothing,Boys&#039; Clothing,http://www.zappos.com/boys-clothing~1e
Shoes|Women&#039;s Shoes,Sandals,http://www.zappos.com/womens-sandals~tN
Shoes|Women&#039;s Shoes,Heels,http://www.zappos.com/womens-heels~C8
Shoes|Women&#039;s Shoes,Sneakers & Athletic Shoes,http://www.zappos.com/womens-sneakers-athletic-shoes~gJ
Shoes|Women&#039;s Shoes,Boots,http://www.zappos.com/womens-boots~zj
Shoes|Women&#039;s Shoes,Flats,http://www.zappos.com/womens-flats~jN
Shoes|Women&#039;s Shoes,Loafers,http://www.zappos.com/womens-loafers~3W
Shoes|Women&#039;s Shoes,Clogs & Mules,http://www.zappos.com/womens-clogs-mules~8c
Shoes|Women&#039;s Shoes,Slippers,http://www.zappos.com/womens-slippers~2m
Shoes|Women&#039;s Shoes,Oxfords,http://www.zappos.com/womens-oxfords-shoes~21
Shoes|Women&#039;s Shoes,Boat Shoes,http://www.zappos.com/womens-boat-shoes~w
Shoes|Women&#039;s Shoes,Insoles & Accessories,http://www.zappos.com/womens-insoles-accessories-shoes~1
Shoes|Women&#039;s Shoes,Climbing,http://www.zappos.com/womens-climbing-shoes~1
Shoes|Men&#039;s Shoes,Sneakers & Athletic Shoes,http://www.zappos.com/mens-sneakers-athletic-shoes~dA
Shoes|Men&#039;s Shoes,Boots,http://www.zappos.com/mens-boots~60
Shoes|Men&#039;s Shoes,Oxfords,http://www.zappos.com/mens-oxfords-shoes~36
Shoes|Men&#039;s Shoes,Loafers,http://www.zappos.com/mens-loafers~3t
